principal,pid,datetime
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.290.1,2019-01-11 08:28:04.492
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.290.1,2019-01-11 08:28:04.968
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.290.1,2019-01-11 08:28:05.433
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.290.1,2019-01-11 08:28:05.898
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:38.831
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:39.358
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:39.796
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:40.225
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:40.647
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:41.086
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.303.1,2019-01-11 15:10:41.511
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:06.754
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:07.148
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:07.538
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:07.933
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.275.1,2019-01-17 17:39:29.733
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.32.1,2017-08-05 17:08:48.987
"uid=kzollovenecek,o=EDI,dc=edirepository,dc=org",edi.1103.1,2022-03-07 16:15:41.492
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:08.346
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.326.1,2019-03-12 14:47:09.284
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.9.4,2017-06-02 11:21:41.455
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.15.1,2017-04-27 15:35:05.610
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:33.906
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.192.3,2018-10-28 15:15:08.739
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:34.381
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:34.925
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:35.448
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:35.975
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.1.1,2016-12-01 12:55:07.794
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:19.727
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.1216.1,2022-09-16 14:19:58.734
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:36.542
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:20.200
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:20.662
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:21.092
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.1,2019-02-12 09:36:08.685
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:37.070
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.1,2019-02-12 09:36:09.083
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:21.557
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:21.990
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.312.1,2019-02-12 12:30:02.506
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:37.591
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.1,2019-02-12 09:36:09.504
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.312.1,2019-02-12 12:30:02.888
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.4,2019-01-23 17:46:22.473
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:38.314
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.1,2019-02-12 09:36:10.135
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:38.792
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:39.268
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.233.2,2019-02-13 16:42:14.409
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:39.746
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.312.1,2019-02-12 12:30:03.268
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:40.454
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:41.707
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.233.2,2019-02-13 16:42:15.407
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.312.1,2019-02-12 12:30:03.662
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:41.167
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:42.255
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.233.2,2019-02-13 16:42:15.781
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.8.4,2017-05-10 16:06:16.189
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.3,2019-02-14 08:26:39.349
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:42.795
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.4,2019-02-14 12:50:10.266
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.3,2019-02-14 08:26:39.721
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.312.1,2019-02-12 12:30:04.041
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.5,2019-02-14 14:10:49.061
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.3,2019-02-14 08:26:40.086
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.238.4,2019-02-11 17:11:43.340
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.4,2019-02-14 12:50:10.613
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:02.325
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.3,2019-02-14 08:26:40.678
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.4,2019-02-14 12:50:10.975
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.233.2,2019-02-13 16:42:16.156
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:02.675
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.4,2019-02-14 12:50:11.556
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:03.024
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.2,2019-02-13 17:06:04.832
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.5,2019-02-14 14:10:48.668
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:03.373
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.5,2019-02-14 14:10:49.424
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.2,2019-02-13 17:06:05.190
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:44.994
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.2,2019-02-13 17:06:05.555
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.5,2019-02-14 14:10:50.050
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:45.349
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:46.014
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.311.2,2019-02-13 17:06:06.139
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:46.427
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:46.778
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:00.890
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:47.130
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.329.1,2019-03-13 13:08:33.809
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.2,2019-02-18 15:05:47.481
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:01.247
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:20.036
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.314.1,2019-02-18 14:57:01.914
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.23.1,2017-08-05 16:43:15.178
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.354.1,2019-03-25 19:19:21.271
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.280.1,2019-03-08 09:40:16.759
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.58.1,2017-08-05 17:11:15.395
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.356.1,2019-03-25 13:13:20.366
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.2,2017-11-15 11:15:21.688
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.1216.1,2022-09-16 14:19:59.157
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.23.1,2017-08-05 16:43:15.482
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.1136.3,2022-09-18 00:26:46.056
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:57.048
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.316.1,2019-02-26 08:33:16.889
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:57.806
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.86.2,2017-08-05 16:21:17.429
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.316.1,2019-02-26 08:33:17.245
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:58.182
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.316.1,2019-02-26 08:33:17.599
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:03.583
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:43.801
"uid=kzollovenecek,o=EDI,dc=edirepository,dc=org",edi.1035.1,2021-11-29 14:22:06.733
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:58.534
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:03.985
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:58.878
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.127.1,2017-10-30 10:40:11.423
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.127.1,2017-10-30 10:40:12.050
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:04:04.644
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:22.294
